name,link,address,phone,firm_reference_number,status,email
Stem Financial Services,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfgkpAAB,51 Elm Drive                                            St. Albans           AL4 0EH           UNITED KINGDOM,44 01442244686,457713,Authorised,steve@stemfs.co.uk
Kings Financial Management Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000003Jk6nlAAB,10 Hazelwood Drive                                            St. Albans           AL4 0UW           UNITED KINGDOM,+44 07712837473,741507,Appointed representative,
Alban Wealth LLP,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000WAOOBAA5,Box 791           St Albans           Wheathampstead                      St. Albans           AL4 8XG           UNITED KINGDOM,44 1727220321,624670,Authorised,paula@paulacohen.co.uk
John Cottrell,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000nS5rLAAS,15 Pitsfield                                            Welwyn Garden City           AL8 7SJ           UNITED KINGDOM,+44 01707376585,685333,Appointed representative - introducer,
Green Leaf Mortgages Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfYbrAAF,31 Newfield Way                                            St. Albans           AL4 0GB           UNITED KINGDOM, 01727852673,438392,Appointed representative,
Complete Plant Hire Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000OHKFIAA5,Cole Green Works Cole Green                                            Hertford           Sg14 2nl           UNITED KINGDOM,44 01707329655,613740,Appointed representative,sales@completeplant.co.uk
Consolidated Financial Management Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfUNyAAN,Centurion Court           83 Camp Road                                 St. Albans           AL1 5JN           UNITED KINGDOM,44 01727858136,400603,Authorised,gary@consolidatedfinancialmanagement.com
Avidity Wealth Management Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMcD0AAL,Suite one           Phoenix House           63 Campfield Road           St Albans                      AL1 5FL           UNITED KINGDOM, 01727898880,556041,Appointed representative,tim@aviditywealthmanagement.com
Gemmell Financial Services Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfoiEAAR,9 Sandridge Park           Porters Wood                                 St Albans           al3 6ph           UNITED KINGDOM,44 01727790800,465096,Authorised,clair@gemmell.plus.com
Stephen Savill,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000003uHB3jAAG,2 Greenways           Digswell                                 Welwyn           AL6 0EE           UNITED KINGDOM,+44 01702431130,785204,Appointed representative,
Pharmaceutical and General Provident Society Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfFaiAAF,11 Parkway           Porters Wood                                 St. Albans           AL3 6PA           UNITED KINGDOM,44 01727840095,110023,Authorised,andrew.bowater@pgmutual.co.uk
Trinity Wealth Management Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfL0tAAF,Cedar Court           6c Parkway           Porters Wood                      St. Albans           AL3 6PA           UNITED KINGDOM,44 01727851123,206188,Appointed representative,graham.cleveland@twm.uk.com
Trinity WM Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000iA2plAAC,Cedar Court           6c Parkway           Porters Wood                      St. Albans           AL3 6PA           UNITED KINGDOM,+44 01727851123,663639,Appointed representative,
Goldmine Solutions LLP,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000003tbupbAAA,6B Parkway           Porters Wood                                 St Albans           AL3 6PA           UNITED KINGDOM,+44 01727815125,788429,Appointed representative - introducer,
Edwards Associates Advice LLP,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMhbTAAT,                                                       , ,609064,Authorised,
Adam Turner,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=0010X00004JAvQoQAL,26 Warwick Road                                            St. Albans           AL1 4DL           UNITED KINGDOM,+44 07886032279,827813,Appointed representative,
NK Financial Management Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMYX1AAP,Unit 12c           Stanta Business Centre 3 Soothouse Spring                                 St. Albans           AL3 6PF           UNITED KINGDOM,44 01727855607,552630,Authorised,nick@nkfm.co.uk
Lumin Insurance Solutions Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=0010X00004D9I5tQAF,Lumin Wealth Unit 5           Sandridge Park           Porters Wood                      St. Albans           AL3 6PH           UNITED KINGDOM,+44 1727893333,813751,Appointed representative,
Aqua Wealth Management Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMeu7AAD,Heath House           156a Sandridge Road           St Albans                      Herts           AL1 4AP           UNITED KINGDOM,44 01727899244,578609,Authorised,info@aquawm.co.uk
Johan Fraser Associates Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMj5DAAT,9 Hilltop View                      Wheathampstead                      St Albans           al4 8aj           UNITED KINGDOM, ,602268,Appointed representative - introducer,
Clear Accountancy Solutions Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000OHJnxAAH,Suite 64 The Enterprise Centre           Cranborne Road                                 Potters Bar           EN6 3DQ           UNITED KINGDOM,+44 02071176435,613390,Appointed representative,jb@clear-as.com
Buckley Wealth Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000R6r8tAAB,Fountain Court           2 Victoria Square           Victoria Street                      St Albans           AL1 3TF           UNITED KINGDOM,+44 07879384599,618213,Appointed representative,david@bw-ifa.co.uk
Pranaflow Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000003UdNSBAA3,Fountain Court           2 Victoria Square           Victoria Street                      St. Albans           AL1 3TF           UNITED KINGDOM,44 7802503136,758751,Authorised,tim@flowifp.co.uk
Capital Deposit Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfbhFAAR,54 The Enterprise Centre           Cranborne Road                                 Potters Bar           EN6 3DQ           UNITED KINGDOM,44 01707645999,419751,See full details,nigel.rowlinson@btconnect.com
GMT Financial Solutions Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfsgLAAR,36 The Enterprise Centre           Cranborne Road                                 Potters Bar           EN6 3DQ           UNITED KINGDOM,44 01707662228,457963,Authorised,gmtfsltd@btconnect.com
Paul Gregor,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfXdkAAF,79 Bornedene           Potters Ba                                            EN6 3EN           UNITED KINGDOM,44 01707260903,231006,Appointed representative,
Birchwood Investment Management Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfEWNAA3,8 Prospect Place                                            Welwyn           AL6 9EN           UNITED KINGDOM,44 1438840888,114617,Authorised,info@birchwoodinvestment.com
Defined Returns Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfVWxAAN,Ziggurat           25 Grosvenor Road                                 St. Albans           AL1 3AW           UNITED KINGDOM,44 01727797811,402135,Authorised,paulbispham@definedreturns.com
Grosvenor Beaumont Financial Services Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfBkDAAV,38 Pinewood Drive                                            Potters Bar           EN6 2BD           UNITED KINGDOM,44 01707660445,446700,Authorised,info@gbfinancial.co.uk
IFPC Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfFpmAAF,Faulkner House           Victoria Street                                 St. Albans           AL1 3SN           UNITED KINGDOM,44 01727837128,144197,Authorised,rbradly@ifpc.co.uk
Searle Wealth Management Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMkZ4AAL,2 Harmer Dell                                            Digswell           AL6 0BE           UNITED KINGDOM,+44 07885665148,611672,Appointed representative,john.searle@sjpp.co.uk
Simon Jeremy Bailey,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMZkyAAH,2-4 St. Peters Street                                            St. Albans           AL1 3LF           UNITED KINGDOM,44 01727732394,570820,Authorised,chequerfs@btconnect.com
