name,address,phone,firm_reference_number,status,email
KD Wright Financial Services Limited,Centurion House     136-142 London Road               St. Albans     AL1 1PQ     UNITED KINGDOM,+44 01727852299,509886,Authorised,mark@kdw.co.uk
Tisco Financial Planning Ltd,Morton House     80A Victoria Street               St. Albans     AL1 3XH     UNITED KINGDOM,+44 01727734040,509803,Authorised,suzi@tisco.co.uk
Taylor Burke Partnership,Whelan House     30 Marlborough Road               St. Albans     AL1 3XQ     UNITED KINGDOM, 08456033288,215254,Appointed representative,
MAB Wealth Management Ltd,12-14 Upper Marlborough Road                    St Albans     AL1 3UR     UNITED KINGDOM,44 0,610741,Appointed representative,
Lifetime Wealth Management Ltd,14 Upper Marlborough Road                    St Albans     AL1 3UR     UNITED KINGDOM,44 01727848412,400358,Appointed representative,
J C Langley & C M G Platt,45-49 Victoria Street                    St Albans     AL1 3WZ     UNITED KINGDOM,+44 01727869496,530738,Appointed representative,st_albans_agency@nfumutual.co.uk
Client First - Wealth Management Limited,54-56 Victoria Street                    St. Albans     AL1 3HZ     UNITED KINGDOM,+44 01727228628,600620,Authorised,info@cfwm.co.uk
Susan Hill FP Ltd,54-56 Victoria Street                    St. Albans     AL1 3HZ     UNITED KINGDOM,+44 8081232332,760055,Appointed representative,
Spreadex Limited,26-30 Upper Marlborough Road                    St. Albans     AL1 3UU     UNITED KINGDOM,44 01727895000,190941,Authorised,info@spreadex.com
Crowdstacker Limited,Floors 1 & 2     6 Victoria Street               St. Albans     AL1 3JB     UNITED KINGDOM,+44 02071187570,648742,Authorised,mark.bristow@crowdstacker.com
consolidatemypensions.com Ltd,Suite 1     Clockhouse Court     5-7 London Road          St. Albans     AL1 1LA     UNITED KINGDOM,+44 01727834222,801905,Appointed representative,
CONSOLIDATEMYPENSIONS.COM LTD,1 Clockhouse Court 5-7 London Road                    St. Albans     AL1 1LA     UNITED KINGDOM,44 1727790152,809981,Authorised,stuart@feastnoble.com
Northwood (St Albans) Ltd,48 London Road                    St. Albans     AL1 1NG     UNITED KINGDOM, 01727734550,461373,Appointed representative - introducer,stalbans@northwooduk.com
Feast Noble & Company LLP,Suite 1     Clockhouse Court     5-7 London Road          St Albans     AL1 1LA     UNITED KINGDOM,+44 01727834222,490071,Authorised,stuart@feastnoble.com
Consilia Wealth Management LLP,Clockhouse Court     5-7 London Road               St Albans     AL1 1LA     UNITED KINGDOM,44 01727832166,577504,Authorised,michellem@consiliawm.com
David William Fawcett,1A Canberra House     London Road               St. Albans     AL1 1LE     UNITED KINGDOM,44 02083270664,215518,Appointed representative,
Adam Turner,26 Warwick Road                    St. Albans     AL1 4DL     UNITED KINGDOM,+44 07886032279,827813,Appointed representative,
NPA Insurance Limited,Mallinson House     40-42 St Peter's Street               St. Albans     AL1 3NP     UNITED KINGDOM,44 01727832161,202069,Authorised,g.richards@npa.co.uk
Trust Matters Financial Services Ltd,5 Holywell Hill                    St. Albans     AL1 1EU     UNITED KINGDOM,44 01727737610,425729,Authorised,graham@trustmatters.co.uk
Paul Michael Pritchard,St. Albans Chambers     2 St. Peters Street               St. Albans     AL1 3LF     UNITED KINGDOM, 01727732395,215879,Appointed representative,
Synergy Financial Products Limited,Building 1     Centrium     Griffiths Way          St. Albans     AL1 2RD     UNITED KINGDOM,44 3301239938,312416,Authorised,markturner@sfpl.co.uk
Individual Mortgage Solutions Limited,St Albans Chambers     2-4 St Peters Street               St Albans     AL1 3LF     UNITED KINGDOM,+44 01727238430,412758,Appointed representative,bill.harding@openwork.uk.com
Outsourced Professional Administration Limited,Building 1     Centrium     Griffiths Way          St. Albans     AL1 2RD     UNITED KINGDOM,44 1727734300,459719,Authorised,markturner@opal-uk.com
Simon Jeremy Bailey,2-4 St. Peters Street                    St. Albans     AL1 3LF     UNITED KINGDOM,44 01727732394,570820,Authorised,chequerfs@btconnect.com
Supreme Wealth Management,Dagnall House     2 Lower Dagnall Street               St. Albans     AL3 4PA     UNITED KINGDOM,44 1727229822,144732,Authorised,jo@supremewm.co.uk
Aqua Wealth Management Limited,Heath House     156a Sandridge Road     St Albans          Herts     AL1 4AP     UNITED KINGDOM,44 01727899244,578609,Authorised,info@aquawm.co.uk
Gordon Shepherd Associates Limited,21 Abbey Mill Lane                    St. Albans     AL3 4HA     UNITED KINGDOM,44 1747836471,176016,Authorised,gordon.dhs@icloud.com
HBB Financial Limited,The Old Church     48 Verulam Road               St. Albans     AL3 4DH     UNITED KINGDOM,44 1727862477,505961,Authorised,lawrence.watts@ntlworld.com
Marc Bennett,20 Tithe Barn Close                    St Albans     al1 2qd     UNITED KINGDOM, 020020,470074,Appointed representative,
Townsend Financial Services,3 Townsend Drive                    St. Albans     AL3 5RB     UNITED KINGDOM,44 01727835119810297,216543,Appointed representative,
Butlers in Denim Ltd,28 Old Orchard     Park Street               St. Albans     AL2 2QB     UNITED KINGDOM,+44 2081275779,672851,Appointed representative - introducer,hello@butlersindenim.co.uk
Domain Finance Limited,17 Sleapcross Gardens     Smallford               St. Albans     AL4 0RX     UNITED KINGDOM,44 08458380140,214936,Appointed representative,
Lonsdale Services Ltd,Unit 3     Curo Park     Frogmore          St. Albans     AL2 2DD     UNITED KINGDOM,44 01727845500,225488,Authorised,enquiries@lonsdaleservices.co.uk
Bright Financial Services LLP,8 Allandale                    St. Albans     AL3 4NG     UNITED KINGDOM,44 7855426368,749576,Authorised,rob.dew@brightfs.org
NK Financial Management Limited,Unit 12c     Stanta Business Centre 3 Soothouse Spring               St. Albans     AL3 6PF     UNITED KINGDOM,44 01727855607,552630,Authorised,nick@nkfm.co.uk
Lumin Insurance Solutions Limited,Lumin Wealth Unit 5     Sandridge Park     Porters Wood          St. Albans     AL3 6PH     UNITED KINGDOM,+44 1727893333,813751,Appointed representative,
Trinity Wealth Management Limited,Cedar Court     6c Parkway     Porters Wood          St. Albans     AL3 6PA     UNITED KINGDOM,44 01727851123,206188,Appointed representative,graham.cleveland@twm.uk.com
