name,address,phone,firm_reference_number,status,email
Trinity WM Limited,Cedar Court                 6c Parkway                 Porters Wood                                  St. Albans                 AL3 6PA                 UNITED KINGDOM,+44 01727851123,663639,Appointed representative,
Goldmine Solutions LLP,6B Parkway                 Porters Wood                                                   St Albans                 AL3 6PA                 UNITED KINGDOM,+44 01727815125,788429,Appointed representative - introducer,
Lumin Insurance Solutions Limited,Lumin Wealth Unit 5                 Sandridge Park                 Porters Wood                                  St. Albans                 AL3 6PH                 UNITED KINGDOM,+44 1727893333,813751,Appointed representative,
NK Financial Management Limited,Unit 12c                 Stanta Business Centre 3 Soothouse Spring                                                   St. Albans                 AL3 6PF                 UNITED KINGDOM,44 01727855607,552630,Authorised,nick@nkfm.co.uk
Aqua Wealth Management Limited,Heath House                 156a Sandridge Road                 St Albans                                  Herts                 AL1 4AP                 UNITED KINGDOM,44 01727899244,578609,Authorised,info@aquawm.co.uk
Townsend Financial Services,3 Townsend Drive                                                                    St. Albans                 AL3 5RB                 UNITED KINGDOM,44 01727835119810297,216543,Appointed representative,
Adam Turner,26 Warwick Road                                                                    St. Albans                 AL1 4DL                 UNITED KINGDOM,+44 07886032279,827813,Appointed representative,
Paul Michael Pritchard,St. Albans Chambers                 2 St. Peters Street                                                   St. Albans                 AL1 3LF                 UNITED KINGDOM, 01727732395,215879,Appointed representative,
Individual Mortgage Solutions Limited,St Albans Chambers                 2-4 St Peters Street                                                   St Albans                 AL1 3LF                 UNITED KINGDOM,+44 01727238430,412758,Appointed representative,bill.harding@openwork.uk.com
Simon Jeremy Bailey,2-4 St. Peters Street                                                                    St. Albans                 AL1 3LF                 UNITED KINGDOM,44 01727732394,570820,Authorised,chequerfs@btconnect.com
MJP Financial Consultant Ltd,5 Beech Hyde Cottages                 Hog End Lane                                                   St. Albans                 AL3 6RF                 UNITED KINGDOM,+44 01727842574,713742,Appointed representative,mike@mjpfcltd.co.uk
NPA Insurance Limited,Mallinson House                 40-42 St Peter's Street                                                   St. Albans                 AL1 3NP                 UNITED KINGDOM,44 01727832161,202069,Authorised,g.richards@npa.co.uk
HBB Financial Limited,The Old Church                 48 Verulam Road                                                   St. Albans                 AL3 4DH                 UNITED KINGDOM,44 1727862477,505961,Authorised,lawrence.watts@ntlworld.com
Spreadex Limited,26-30 Upper Marlborough Road                                                                    St. Albans                 AL1 3UU                 UNITED KINGDOM,44 01727895000,190941,Authorised,info@spreadex.com
Supreme Wealth Management,Dagnall House                 2 Lower Dagnall Street                                                   St. Albans                 AL3 4PA                 UNITED KINGDOM,44 1727229822,144732,Authorised,jo@supremewm.co.uk
Lifetime Wealth Management Ltd,14 Upper Marlborough Road                                                                    St Albans                 AL1 3UR                 UNITED KINGDOM,44 01727848412,400358,Appointed representative,
Crowdstacker Limited,Floors 1 & 2                 6 Victoria Street                                                   St. Albans                 AL1 3JB                 UNITED KINGDOM,+44 02071187570,648742,Authorised,mark.bristow@crowdstacker.com
J C Langley & C M G Platt,45-49 Victoria Street                                                                    St Albans                 AL1 3WZ                 UNITED KINGDOM,+44 01727869496,530738,Appointed representative,st_albans_agency@nfumutual.co.uk
Client First - Wealth Management Limited,54-56 Victoria Street                                                                    St. Albans                 AL1 3HZ                 UNITED KINGDOM,+44 01727228628,600620,Authorised,info@cfwm.co.uk
MAB Wealth Management Ltd,12-14 Upper Marlborough Road                                                                    St Albans                 AL1 3UR                 UNITED KINGDOM,44 0,610741,Appointed representative,
Susan Hill FP Ltd,54-56 Victoria Street                                                                    St. Albans                 AL1 3HZ                 UNITED KINGDOM,+44 8081232332,760055,Appointed representative,
Tisco Financial Planning Ltd,Morton House                 80A Victoria Street                                                   St. Albans                 AL1 3XH                 UNITED KINGDOM,+44 01727734040,509803,Authorised,suzi@tisco.co.uk
